active,additionalInfoLink,archiveDate,archiveType,award,baseType,classificationCode,description,fullParentPathCode,fullParentPathName,links,naicsCode,naicsCodes,noticeId,officeAddress.city,officeAddress.countryCode,officeAddress.state,officeAddress.zipcode,organizationType,placeOfPerformance,placeOfPerformance.city.code,placeOfPerformance.city.name,placeOfPerformance.country.code,placeOfPerformance.country.name,placeOfPerformance.state.code,placeOfPerformance.state.name,placeOfPerformance.streetAddress,placeOfPerformance.streetAddress2,placeOfPerformance.zip,pointOfContact,postedDate,resourceLinks,responseDeadLine,solicitationNumber,title,type,typeOfSetAside,typeOfSetAsideDescription,uiLink
Yes,,2025-07-02,auto15,,Solicitation,4720,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=acc0a8cc7eda4688a01fb0127a562d14,017.1700.NAVSUP.NAVSUP GLS.NAVSUP FLC PUGET.N00406,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC PUGET SOUND.NAVSUP FLT LOG CTR PUGET SOUND,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=acc0a8cc7eda4688a01fb0127a562d14&limit=1'}]",326220,['326220'],acc0a8cc7eda4688a01fb0127a562d14,BREMERTON,USA,WA,98314-5100,OFFICE,,7695,Bremerton,USA,UNITED STATES,WA,Washington,,,98314,"[{'fax': '', 'type': 'primary', 'email': 'taura.s.helms3@navy.mil', 'phone': '', 'title': None, 'fullName': 'Taura Helms'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/510e3e8036284a3f96e18b227a4653a8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/96f81065a6774b089f4aca81bd80fcab/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ca519074a55a4f77ab84e3649569f2ed/download']",2025-06-17T12:00:00-07:00,N0040625QS186,"Rubber Hose, Nitrile",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/acc0a8cc7eda4688a01fb0127a562d14/view
Yes,,2025-07-17,auto15,,Presolicitation,F006,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a1b9bb0a4e4c468894f4a9b9e194399e,014.1422.140L43,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.OREGON STATE OFFICE","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a1b9bb0a4e4c468894f4a9b9e194399e&limit=1'}]",115310,['115310'],a1b9bb0a4e4c468894f4a9b9e194399e,PORTLAND,USA,OR,97204,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'kjcochran@blm.gov', 'phone': '(503)808-6739', 'title': None, 'fullName': 'Cochran, Kevin'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/524b9d59ef7c4526858cebd370fa4c0b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5afcbbd9b3d94fa59baf06e7835a65d0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6de33c79d7ff4fefb398d5957f796017/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bcf8fbc7d27441a6adec661d13212363/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f6b03335dcc546868a74e6d8715685c3/download']",2025-07-02T17:00:00-07:00,140L4325Q0076,WEW HERBICIDE TREATMENT,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/a1b9bb0a4e4c468894f4a9b9e194399e/view
Yes,,2025-07-05,auto15,,Solicitation,9535,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a13368a100e340e0923e869f49723f25,080.8000.80NSSC,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION.NATIONAL AERONAUTICS AND SPACE ADMINISTRATION.NASA SHARED SERVICES CENTER,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a13368a100e340e0923e869f49723f25&limit=1'}]",331529,['331529'],a13368a100e340e0923e869f49723f25,STENNIS SPACE CENTER,USA,MS,39529,OFFICE,,,,,,,,,,,"[{'fax': '', 'type': 'primary', 'email': 'monica.d.wilson@nasa.gov', 'phone': '', 'title': None, 'fullName': 'Monica Wilson'}]",2025-06-13,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e78130e014084be0a6bdbf91bdaf56db/download'],2025-06-20T15:00:00-05:00,80NSSC25906798Q,Vacuum Induction melting of recycled shape memory alloy compositions,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/a13368a100e340e0923e869f49723f25/view
Yes,,2025-07-15,autocustom,,Solicitation,Y1KF,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a0e37cae67684d7294bc9b0df1dd8dbf,021.2100.USACE.NWD.W912DW,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.W071 ENDIST SEATTLE,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a0e37cae67684d7294bc9b0df1dd8dbf&limit=1'}]",237990,['237990'],a0e37cae67684d7294bc9b0df1dd8dbf,SEATTLE,USA,WA,98134-2329,OFFICE,,,,,,,,"LA PUSH, WASHINGTON",,,"[{'fax': None, 'type': 'primary', 'email': 'hien.ho@usace.army.mil', 'phone': '', 'title': None, 'fullName': 'Hien Ho'}, {'fax': None, 'type': 'secondary', 'email': 'SCOTT.W.BRITT@USACE.ARMY.MIL', 'phone': '', 'title': None, 'fullName': 'SCOTTY BRITT'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ba72b487169b46a7b48c1593904fda3e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c27730880296472fb3c90f9518fcfae7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e1d1c5865e5c415da3992206daab166d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e5612ef003e14e39a9e8c6651daad57d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/feece18e76a947d18dda912ddd06617a/download']",2025-06-12T09:30:00-07:00,W912DW25B0005,FY25 QUILLAYUTE MAINTENANCE DREDGING,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/a0e37cae67684d7294bc9b0df1dd8dbf/view
Yes,,2025-07-09,auto15,,Solicitation,J036,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9d2d75fb732e4d30bc32d84df03c7e24,057.5700.AMC.FA4620,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR MOBILITY COMMAND.FA4620  92 CONS LGC,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9d2d75fb732e4d30bc32d84df03c7e24&limit=1'}]",811310,['811310'],9d2d75fb732e4d30bc32d84df03c7e24,FAIRCHILD AFB,USA,WA,99011-5320,OFFICE,,22955,Fairchild Air Force Base,USA,UNITED STATES,WA,Washington,,,99011,"[{'fax': '', 'type': 'primary', 'email': 'angelo.bolanos@us.af.mil', 'phone': '5092472237', 'title': None, 'fullName': 'Angelo Bolanos'}, {'fax': '', 'type': 'secondary', 'email': 'brandon.teague.1@us.af.mil', 'phone': '5092473488', 'title': None, 'fullName': 'Brandon Teague'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/158fbb318a8f4310b7027cfe1d4f0ef9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/22022fa02b81463ca34e994c75c43962/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c75081f2970c4fcd8ebf5b1aba1cae52/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d6f0a84d4cef4159864ea114f52486a5/download']",2025-06-24T10:00:00-07:00,FA462025QA977,FY25 Skywatch Tower Mx,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/9d2d75fb732e4d30bc32d84df03c7e24/view
Yes,,2025-08-09,auto15,,Presolicitation,Y1DA,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9bb4d143349e45328c35de58bd931c54,036.3600.36C776,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.PCAC (36C776)","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9bb4d143349e45328c35de58bd931c54&limit=1'}]",236220,['236220'],9bb4d143349e45328c35de58bd931c54,INDEPENDENCE,USA,OH,44131,OFFICE,,,,USA,UNITED STATES,RI,Rhode Island,,,02908,"[{'fax': '', 'type': 'primary', 'email': 'Christopher.Yong@va.gov', 'phone': '561-422-1456', 'title': 'Contracting Officer/Contract Specialist', 'fullName': 'Christopher Yong'}, {'fax': '', 'type': 'secondary', 'email': 'nicholas.sparks@va.gov', 'phone': '', 'title': None, 'fullName': 'Nicholas Sparks'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/060bd0dfa6f6427696db89a3b0b15738/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/396a15adbf23431c9b6c80a5d73c3960/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6b23c8eac0fd42c5b3f58c22965997bd/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6d308c87bf2540229f3d99c707e49665/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7089e38fdffa4048ac6cd2b5cc058b10/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/854a1bc16e824a09ad39f97dfe9358b8/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a74224218977460e8f2f312648921915/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c2e20408bd254cdea01bfc579d55c437/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d0ea5dd9bedf4d8595b8ad408783b282/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d184daeaec844cd5b10ee5ead1dcbc11/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d5a928d022564addaf731a6266290bce/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f8cac4fec9e648009fb8e41b1a96ff4f/download']",2025-07-25T15:00:00-04:00,36C77625R0047,"36C77625R0047 - Expand & Renovate New MRI - Providence, RI - Solicitation",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/9bb4d143349e45328c35de58bd931c54/view
Yes,,2025-07-16,auto15,,Solicitation,R425,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9aff69dd60ad4788ad0192c02730f448,031.3100.313100,NUCLEAR REGULATORY COMMISSION.NUCLEAR REGULATORY COMMISSION.NUCLEAR REGULATORY COMMISSION,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9aff69dd60ad4788ad0192c02730f448&limit=1'}]",541990,['541990'],9aff69dd60ad4788ad0192c02730f448,ROCKVILLE,USA,MD,20855,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'Jeffrey.Mitchell@nrc.gov', 'phone': '301-415-5074', 'title': None, 'fullName': 'MITCHELL, JEFFREY R.'}]",2025-06-13,,2025-07-01T11:00:00-04:00,31310025R0019,R--Nuclear Power Plants and Research & Test Reactors,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/9aff69dd60ad4788ad0192c02730f448/view
Yes,,2025-07-05,auto15,,Sources Sought,1095,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9aeedce5683043218cc473e1e71e3743,057.5700.AFSOC.FA4855,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE SPECIAL OPERATIONS COMMAND.FA4855  27 SOCONS LGC,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9aeedce5683043218cc473e1e71e3743&limit=1'}]",332994,['332994'],9aeedce5683043218cc473e1e71e3743,CANNON AFB,USA,NM,88103-5321,OFFICE,,NM-07,Cannon AFB,USA,UNITED STATES,NM,New Mexico,,,88103,"[{'fax': None, 'type': 'primary', 'email': 'tristan.barker@us.af.mil', 'phone': '575-784-4803', 'title': None, 'fullName': 'SSgt Tristan Barker'}, {'fax': '', 'type': 'secondary', 'email': 'bryce.lowe@us.af.mil', 'phone': '5757844850', 'title': None, 'fullName': 'SrA Bryce Lowe'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/10272554624246439d27def08c20b9fa/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7da867efe9724c8594a9f9c4a9dd6356/download']",2025-06-20T11:00:00-06:00,FA485525Q0099,Training Weapons,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/9aeedce5683043218cc473e1e71e3743/view
Yes,,2025-07-29,auto15,,Solicitation,6685,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=94b5d3a032924852b181835218f0e7a6,017.1700.NAVSUP.NAVSUP WSS.NAVSUP WSS MECH.N00104,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=94b5d3a032924852b181835218f0e7a6&limit=1'}]",334512,['334512'],94b5d3a032924852b181835218f0e7a6,MECHANICSBURG,USA,PA,17050-0788,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'AMANDA.R.HAYWARD.CIV@US.NAVY.MIL', 'phone': None, 'title': None, 'fullName': 'Telephone: 7176055834'}]",2025-06-13,,2025-07-14T16:30:00-04:00,N0010425QAD91,"INDICATOR,HUMIDITY",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/94b5d3a032924852b181835218f0e7a6/view
Yes,,2025-07-31,auto15,,Solicitation,F018,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=90df2ea4fdc34ec3a006ceeee911df28,021.2100.NGB.W50S85,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.W7NF USPFO ACTIVITY MIANG 127,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=90df2ea4fdc34ec3a006ceeee911df28&limit=1'}]",113310,['113310'],90df2ea4fdc34ec3a006ceeee911df28,SELFRIDGE ANGB,USA,MI,48045-5213,OFFICE,,MI-03,Selfridge ANGB,USA,UNITED STATES,MI,Michigan,,,48045,"[{'fax': '', 'type': 'primary', 'email': 'tami.mckenney.1@us.af.mil', 'phone': '5862395989', 'title': None, 'fullName': 'Tami L McKenney'}, {'fax': '', 'type': 'secondary', 'email': 'Katherine.sutton.4@us.af.mil', 'phone': '5862392866', 'title': None, 'fullName': 'Kathy Sutton'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/24d4d31eb4f94c6a942e38cf62179345/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c31a2d9ac01b490e961422e13b1a1929/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ca580005238349718f5a51819960231e/download']",2025-07-16T14:00:00-04:00,W50S8525QA029,Log Removal Services,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/90df2ea4fdc34ec3a006ceeee911df28/view
Yes,,2025-07-02,auto15,,Solicitation,U099,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=90b98282e2694ead9e22f33a34985110,017.1700.USMC.MARCORP I&L.MCICOM.MCIPAC.M67400,DEPT OF DEFENSE.DEPT OF THE NAVY.USMC.MARCORP I&L.MARINE CORPS INSTALLATIONS COMMAND.MCIPAC.COMMANDING OFFICER,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=90b98282e2694ead9e22f33a34985110&limit=1'}]",481219,['481219'],90b98282e2694ead9e22f33a34985110,FPO,USA,AP,96371-9001,OFFICE,,39370,Lake Havasu City,USA,UNITED STATES,AZ,Arizona,,,86404,"[{'fax': None, 'type': 'primary', 'email': 'geronimo.lopez.mil@usmc.mil', 'phone': '315-645-3607', 'title': None, 'fullName': 'GySgt Geronimo Lopez'}, {'fax': '', 'type': 'secondary', 'email': 'ingrid.n.guzmansanchez.mil@usmc.mil', 'phone': '6454637', 'title': None, 'fullName': 'Sgt Ingrid Guzmansanchez'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1a678912ecd345cf9cab2293b46b2535/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5ba86107be194c6dbbd28a7fe6216a73/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8dc6a98934c048608b82cee92b65eed9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/befa75d5c2174b92a1f5b99a56868c41/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f7ca96892d4c46b4ad99815112283ed0/download']",2025-06-17T08:00:00+09:00,M67400-25-Q-0033,Parachute Packing Rigger Support,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/90b98282e2694ead9e22f33a34985110/view
Yes,,2025-07-30,auto15,,Presolicitation,R614,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8f970aec65b64f8a9fa207c7b30b728c,021.2100.USACE.SPD.W91238,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH PACIFIC.W075 ENDIST SACRAMENTO,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=8f970aec65b64f8a9fa207c7b30b728c&limit=1'}]",561990,['561990'],8f970aec65b64f8a9fa207c7b30b728c,SACRAMENTO,USA,CA,95814-2922,OFFICE,,64000,Sacramento,USA,UNITED STATES,CA,California,,,,"[{'fax': '', 'type': 'primary', 'email': 'luis.a.valencia@usace.army.mil', 'phone': '', 'title': None, 'fullName': 'Luis Valencia'}, {'fax': '', 'type': 'secondary', 'email': 'DeAnna.L.Wagner@usace.army.mil', 'phone': '', 'title': None, 'fullName': 'DeAnna L. Wagner'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a6a2539d0b2649858666114089a6708d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/db11fb8d13524a9a85d702c5f826dc34/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e0f11a2ae3cb4dc282e2e044d4965450/download']",2025-07-15T11:00:00-07:00,W9123825QA0103,Shredding Services SPK HQ - Sacramento,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/8f970aec65b64f8a9fa207c7b30b728c/view
Yes,,2025-07-03,auto15,,Solicitation,N059,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8c211b4566cc4af094de26e9885f677c,012.12H2.1232SA,"AGRICULTURE, DEPARTMENT OF.AGRICULTURAL RESEARCH SERVICE.USDA ARS AFM APD","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=8c211b4566cc4af094de26e9885f677c&limit=1'}]",238210,['238210'],8c211b4566cc4af094de26e9885f677c,BELTSVILLE,USA,MD,20705,OFFICE,,70720,Stoneville,USA,UNITED STATES,MS,Mississippi,,,,"[{'fax': '', 'type': 'primary', 'email': 'osvaldo.rodriguez@usda.gov', 'phone': '', 'title': None, 'fullName': 'Osvaldo Rodriguez'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/05bf47322a434d498398f5cc21231a79/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/092ba35a98dd4c74941d2e497674ba1c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/183b31cdfdae4033b687f901373b0325/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3abc90f01cd842dcb08f41c6201fa894/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4a16c3657d8b452c88569d002f28f7d1/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4eb240e6763244048b59918470eb82a9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/68f5ea340ce0467ea99058a68fa57785/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b3e8f678925a4b479d1d5e1b21a6dbd7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d4c9a7a0f8714b3db414057a03ce6c18/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d5c08b4e7c19498ab83c263dcf5f77d6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/dd056e3cfabb405589b793d3fd851088/download']",2025-06-18T10:00:00-04:00,1232SA25Q0108,"Hatchery Complex Electrical Distribution Addition, Stoneville, MS.",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/8c211b4566cc4af094de26e9885f677c/view
Yes,,2025-07-29,auto15,,Solicitation,1440,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8bac85773054451d91ef952310fc09c7,017.1700.NAVSUP.NAVSUP WSS.NAVSUP WSS MECH.N00104,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=8bac85773054451d91ef952310fc09c7&limit=1'}]",336415,['336415'],8bac85773054451d91ef952310fc09c7,MECHANICSBURG,USA,PA,17050-0788,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'AMANDA.R.HAYWARD.CIV@US.NAVY.MIL', 'phone': None, 'title': None, 'fullName': 'Telephone: 7176055834'}]",2025-06-13,,2025-07-14T16:30:00-04:00,N0010425QAD94,"CLEANER, AEROSOL",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/8bac85773054451d91ef952310fc09c7/view
Yes,,2025-07-29,auto15,,Sources Sought,5410,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8ab8d0087ae047b38edfd223116297f5,014.1448.140FGA,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, GAOA","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=8ab8d0087ae047b38edfd223116297f5&limit=1'}]",321991,['321991'],8ab8d0087ae047b38edfd223116297f5,Falls Church,USA,VA,22041,OFFICE,,,Indiahoma,,,OK,,,,73552,"[{'fax': None, 'type': 'primary', 'email': 'shanen_fox@fws.gov', 'phone': '5037364469', 'title': None, 'fullName': 'Fox, Shanen'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4aa8c859e6cb4e3688c22316cd33cb79/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/720aca627cda4a8bbf0ae76dbcb94ede/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f0c684cbe41949bc92a92928691b4854/download']",2025-07-14T10:00:00-07:00,140FGA25R0018,OK-WICHITA MTNS WDLF RFG-GAOA-TINY HOMES,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/8ab8d0087ae047b38edfd223116297f5/view
Yes,,2025-08-13,auto15,,Presolicitation,Y1AA,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=88c08c9b27b04a3baaaf6e912fdfd38f,021.2100.NGB.W50S6P,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.W7MW USPFO ACTIVITY ARANG 189,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=88c08c9b27b04a3baaaf6e912fdfd38f&limit=1'}]",236220,['236220'],88c08c9b27b04a3baaaf6e912fdfd38f,LITTLE ROCK AFB,USA,AR,72099-4802,OFFICE,,41030,Little Rock Air Force Base,USA,UNITED STATES,AR,Arkansas,,,72099,"[{'fax': '', 'type': 'primary', 'email': 'ryan.bernaiche@us.af.mil', 'phone': '', 'title': None, 'fullName': 'TSgt Ryan J. Bernaiche'}, {'fax': '', 'type': 'secondary', 'email': 'travis.jaworski@us.af.mil', 'phone': '', 'title': None, 'fullName': 'SMSgt Travis Jaworski'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1466e946e65a4953826bd0e736d9d5cb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/457bd1886ada4169b829c9abe50619a7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/79413060f7bc400c9618645c8c854983/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/854ed88c331d4595a37e8a861f87d2e9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/990d3955abdb4d3cb3c3ca138d725b5d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c2df5c5de9fb455897148daa22a8c3c9/download']",2025-07-29T10:00:00-05:00,W50S6P25BA001,"189th AW, LITTLE ROCK AFB B112 SOFFIT REPAIR AND REPLACEMENT",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/88c08c9b27b04a3baaaf6e912fdfd38f/view
Yes,,2025-07-01,auto15,,Solicitation,5310,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=852f8ffd75fa42bca863fefccc58de5e,097.97AS.DLA MARITIME.DLA MARITIME SHIPYDS.SPMYM4,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME SHIPYARDS.DLA MARITIME - PEARL HARBOR,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=852f8ffd75fa42bca863fefccc58de5e&limit=1'}]",332722,['332722'],852f8ffd75fa42bca863fefccc58de5e,PEARL HARBOR,USA,HI,96860-5033,OFFICE,,,,,,,,,,,"[{'fax': '', 'type': 'primary', 'email': 'wongduean.a.guajardo.civ@us.navy.mil', 'phone': '80847380004040', 'title': None, 'fullName': 'Wongduean Guajardo'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/172d6943b37b419688fbf49a5a4efc7b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d2e47ff0ef4a4e10a75d7d8af86f1c76/download']",2025-06-16T11:00:00-10:00,SPMYM4-25-Q-0573,MAMBA ASSY,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/852f8ffd75fa42bca863fefccc58de5e/view
